no,모델명,연월,연식,연료,인승,최대출력(마력),기통,최대토크(kgm),구동방식,자동수동,국산/수입,신차가(만원),가격(만원),주행거리
6355,밴텍 라쿤팝 4WD,14/02,2014.0,디젤,,174.0,,41.0,,,국산,,4200.0,10000
6356,현대 아반떼MD M16 GDi 프리미어,12/07,2012.0,가솔린,,140.0,,17.0,FF,,국산,1810.0,590.0,100000
6357,르노삼성 SM5 뉴 임프레션 LE 익스클루시브,08/10(09년형),2009.0,가솔린,,143.0,4.0,20.0,FF,,국산,2460.0,300.0,150000
6358,현대 제네시스 쿠페 380 GT R,09/07(10년형),2010.0,가솔린,,303.0,6.0,36.8,FR,,국산,3392.0,2000.0,90000
6359,기아 뉴 오피러스 GH270 스페셜,08/06(09년형),2009.0,가솔린,,192.0,6.0,25.5,FF,,국산,3330.0,450.0,130000
6360,현대 더 뉴 아반떼 1.6 GDi 모던,14/04,2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,1890.0,1250.0,80000
6361,기아 더 뉴 K5 2.0 LPi 디럭스,14/05,2014.0,LPG,,155.0,,19.8,FF,,국산,,799.0,60000
6362,현대 벨로스터 터보 D 스펙 DCT,13/07(14년형),2014.0,가솔린,,204.0,4.0,26.9,FF,,국산,2370.0,1290.0,40000
6363,현대 더 뉴 아반떼 1.6 GDi 스마트,15/04,2015.0,가솔린,,140.0,4.0,16.9,FF,,국산,1749.0,990.0,70000
6364,현대 뉴 제네시스 G380 프레스티지 AWD,14/08(15년형),2015.0,가솔린,,315.0,6.0,40.5,AWD,,국산,6201.0,3800.0,60000
6365,기아 오피러스 프리미엄 GH270 스페셜 럭셔리,10/08,2010.0,가솔린,,195.0,6.0,25.6,FF,,국산,3927.0,480.0,130000
6366,쉐보레 스파크 L,13/10(14년형),2014.0,가솔린,,70.0,4.0,9.4,FF,,국산,907.0,500.0,40000
6367,기아 올 뉴 카니발 2.2 디젤 7인승 리무진 VIP,16/00,2016.0,디젤,,202.0,4.0,45.0,FF,,국산,3530.0,2480.0,80000
6368,현대 그랜드스타렉스 WAGON 12인승 CVX 밸류,08/07(09년형),2009.0,디젤,,174.0,,41.0,FR,,국산,2082.0,598.0,170000
6369,GM대우 라세티 프리미어 ID CDX 고급형,10/04,2010.0,가솔린,,142.0,4.0,17.9,FF,,국산,1854.0,190.0,150000
6370,현대 e-카운티 표준형 슈퍼 25인승,07/10,2007.0,디젤,,170.0,,62.0,,수동,국산,,1492.0,230000
6371,현대 그랜져TG Q270 LPI 장애인용,07/08(08년형),2008.0,LPG,,165.0,,25.0,FF,,국산,24120.0,550.0,180000
6372,현대 e마이티 2.5톤 슈퍼캡 골드,08/05,2008.0,디젤,,,,,,수동,국산,,1530.0,180000
6373,기아 스포티지R 2.0 디젤 2WD TLX 최고급형,12/01,2012.0,디젤,,184.0,4.0,40.0,FF,,국산,2499.0,1040.0,130000
6374,현대 제네시스 쿠페 200 터보 P,09/08(10년형),2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,1250.0,90000
6375,쌍용 티볼리 에어 1.6 가솔린 2WD IX,17/12(18년형),2018.0,가솔린,,126.0,4.0,16.0,FF,,국산,2095.0,1595.0,10000
6376,쉐보레 올란도 2.0 디젤 LS 고급형,13/11(14년형),2014.0,디젤,,163.0,4.0,36.7,FF,,국산,2267.0,1298.0,60000
6377,현대 그랜져HG 300 LPG 프라임,12/12,2012.0,LPG,,235.0,,28.6,FF,,국산,,1095.0,180000
6378,현대 YF쏘나타 2.0 Y20 LPi 탑,10/03,2010.0,LPG,,157.0,,20.0,FF,,국산,,1390.0,50000
6379,현대 뉴그랜져XG S30 고급형,03/10(04년형),2004.0,가솔린,,182.0,6.0,25.7,FF,,국산,2812.0,269.0,150000
6380,기아 더 뉴 K7 3.0 GDI 프레스티지 스페셜,13/02,2013.0,가솔린,,270.0,6.0,31.6,FF,,국산,3688.0,2390.0,60000
6381,제네시스 더 올 뉴 G80 2.5 T-GDi AWD,20/04(21년형),2021.0,가솔린,,304.0,6.0,42.9,AWD,,국산,5527.0,6030.0,5000
6382,현대 제네시스 쿠페 380 GT R,10/04,2010.0,가솔린,,303.0,6.0,36.8,FR,,국산,3392.0,1180.0,80000
6383,제네시스 EQ900 3.8 GDi AWD 럭셔리,17/02,2017.0,가솔린,,315.0,6.0,40.5,AWD,,국산,7415.0,3890.0,70000
6384,현대 제네시스 쿠페 200 터보 P,09/02,2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,630.0,120000
6385,기아 포르테 쿱 2.0 CVVT 고급형 레드프리미엄,10/07,2010.0,가솔린,,158.0,4.0,20.2,FF,,국산,1966.0,690.0,70000
6386,GM대우 토스카 L6 2.0 CDX 일반형,07/06,2007.0,가솔린,,144.0,6.0,19.2,FF,,국산,2339.0,270.0,70000
6387,현대 뉴EF쏘나타 2.0 GVS 기본형,02/09,2002.0,가솔린,,133.0,4.0,18.1,FF,,국산,1664.0,160.0,130000
6388,기아 더 프레스티지 K7 3.0 LPi 프레스티지,11/04(12년형),2012.0,LPG,,235.0,,28.6,FF,,국산,,1595.0,120000
6389,현대 코나 1.6 T-GDi 2WD 플럭스 프리미엄 스페셜,17/12(18년형),2018.0,가솔린,,177.0,4.0,27.0,FF,,국산,2631.0,1790.0,20000
6390,기아 그랜드카니발 GX 그랜드팩,09/06,2009.0,디젤,,170.0,4.0,36.0,FF,,국산,2170.0,1380.0,100000
6391,제네시스 EQ900 5.0 GDi AWD 프레스티지,16/03,2016.0,가솔린,,425.0,8.0,53.0,AWD,,국산,11490.0,6199.0,30000
6392,기아 그랜드카니발 GLX 고급형,06/11,2006.0,디젤,,170.0,4.0,36.0,FF,,국산,2390.0,850.0,270000
6393,기아 올 뉴 프라이드 1.6 GDI 해치백 럭셔리,13/07(14년형),2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,1581.0,870.0,50000
6394,쉐보레 말리부 2.0 LT,12/04,2012.0,가솔린,,141.0,6.0,18.8,FF,,국산,2526.0,430.0,120000
6395,현대 YF쏘나타 2.0 Y20 LPi 탑,11/03,2011.0,LPG,,157.0,,20.0,FF,,국산,,1090.0,120000
6396,현대 제네시스 쿠페 200 터보 R,09/04,2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2942.0,950.0,130000
6397,현대 제네시스 쿠페 200 터보 P,09/03,2009.0,가솔린,4.0,210.0,4.0,30.5,FR,수동,국산,2641.0,490.0,160000
6398,현대 뉴 투스카니 2.0 GT 고급형,06/11(07년형),2007.0,가솔린,,143.0,,19.0,FF,,국산,,380.0,170000
6399,현대 제네시스 BH380 로얄 VIP 팩,11/08(12년형),2012.0,가솔린,,334.0,6.0,40.3,FR,,국산,6290.0,1950.0,70000
6400,현대 제네시스 쿠페 200 터보 R,08/10(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2942.0,1250.0,110000
6401,현대 에쿠스 리무진 JL 350,02/04,2002.0,가솔린,,220.0,6.0,32.0,FF,,국산,6790.0,690.0,210000
6402,현대 그랜져TG L330 탑 메모리팩,06/03,2006.0,가솔린,,233.0,6.0,31.0,FF,,국산,3684.0,570.0,170000
6403,현대 YF쏘나타 2.0 Y20 프라임 고급형,11/09(12년형),2012.0,가솔린,,165.0,4.0,20.2,FF,,국산,2315.0,980.0,170000
6404,쌍용 코란도 투리스모 2.0 디젤 4WD GT 11인승,13/05(14년형),2014.0,디젤,,155.0,4.0,36.7,4WD,,국산,3251.0,990.0,120000
6405,현대 그랜져TG L330 모젠 탑,05/12(06년형),2006.0,가솔린,,233.0,6.0,31.0,FF,,국산,3862.0,590.0,80000
6406,현대 더 뉴 제네시스 쿠페 380 GT R,13/01(12년형),2012.0,가솔린,,,,,,수동,국산,3536.0,1830.0,100000
6407,현대 제네시스 쿠페 200 터보 P,08/10(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,850.0,110000
6408,현대 제네시스 쿠페 380 GT RW,09/10(10년형),2010.0,가솔린,,303.0,6.0,36.8,FR,,국산,3428.0,1330.0,80000
6409,현대 YF쏘나타 2.0 Y20 스포츠 팩,09/11(10년형),2010.0,가솔린,,165.0,4.0,20.2,FF,,국산,2820.0,990.0,100000
6410,현대 그랜져HG 220 디젤 프리미엄,15/11(16년형),2016.0,디젤,,202.0,4.0,45.0,FF,,국산,3452.0,2150.0,70000
6411,기아 그랜드카니발 R 하이리무진 11인승 2.2 GLX,10/02,2010.0,디젤,,197.0,,44.5,FF,,국산,4541.0,2380.0,130000
6412,현대 쏘나타 트랜스폼 N20 엘레강스 스페셜 최고급형,08/03,2008.0,가솔린,,163.0,4.0,20.1,FF,,국산,2292.0,350.0,180000
6413,쌍용 액티언 스포츠 AX5 2WD 패션,08/09(09년형),2009.0,디젤,,145.0,,31.6,FR,,국산,2220.0,570.0,110000
6414,쌍용 액티언 CX5 2WD 최고급형,06/02,2006.0,디젤,,145.0,4.0,31.6,FR,,국산,2031.0,370.0,200000
6415,현대 아반떼MD M16 GDi 럭셔리,10/11(11년형),2011.0,가솔린,,,4.0,,FF,,국산,1520.0,990.0,80000
6416,르노삼성 SM7 뉴 아트 LE23,09/02,2009.0,가솔린,,170.0,6.0,23.0,FF,,국산,3020.0,1150.0,80000
6417,기아 레이 1.0 가솔린 프레스티지,12/03,2012.0,가솔린,,78.0,3.0,9.6,FF,,국산,1495.0,890.0,40000
6418,기아 봉고3 워크스루밴,19/03,2019.0,디젤,,126.0,,25.5,,,국산,,2090.0,3000
6419,현대 그랜드스타렉스 WAGON 12인승 CVX 럭셔리,07/11(08년형),2008.0,디젤,12.0,174.0,,41.0,FR,수동,국산,2270.0,580.0,130000
6420,기아 뉴 카렌스 2.0 LPI GX 최고급형,09/05,2009.0,LPG,,141.0,4.0,19.0,FF,,국산,1740.0,580.0,160000
6421,현대 그랜드스타렉스 WAGON 11인승 4WD CVX 프리미엄,15/01,2015.0,디젤,,,,,,,국산,,1990.0,60000
6422,현대 엑센트  1.4 VVT 프리미어,12/02,2012.0,가솔린,,108.0,4.0,13.9,FF,,국산,1240.0,870.0,20000
6423,현대 NF쏘나타 N20 프리미어 슈퍼형,05/04,2005.0,가솔린,,144.0,4.0,23.0,FF,,국산,2239.0,350.0,150000
6424,현대 그랜져HG 300 프라임,11/11(12년형),2012.0,가솔린,,270.0,6.0,31.6,FF,,국산,3292.0,1290.0,100000
6425,현대 그레이스 LPG 15인승 그랜드 살롱,02/03,2002.0,LPG,15.0,,,,FR,수동,국산,,395.0,130000
6426,현대 그랜드스타렉스 캠핑카,15/03,2015.0,디젤,,174.0,,41.0,,,국산,,4150.0,30000
6427,현대 벨로스터 익스트림,11/09(12년형),2012.0,가솔린,,140.0,4.0,17.0,FF,,국산,2095.0,350.0,110000
6428,에드윈 ES600 캠핑카,12/05,2012.0,디젤,,174.0,,41.0,,,국산,,6450.0,20000
6429,현대 e-카운티 캠핑카,05/05,2005.0,디젤,,170.0,,62.0,,수동,국산,,3650.0,140000
6430,현대 LF쏘나타 2.0 CVVL 케어 플러스,17/05,2017.0,가솔린,,168.0,4.0,20.5,FF,,국산,2496.0,1790.0,80000
6431,현대 아반떼AD 1.6 e-VGT 스타일,16/02,2016.0,디젤,5.0,136.0,4.0,26.5,FF,수동,국산,1630.0,1150.0,60000
6432,르노삼성 SM7 뉴 아트 SE23,10/11(11년형),2011.0,가솔린,,170.0,6.0,23.0,FF,,국산,2750.0,790.0,160000
6433,현대 그랜드스타렉스 12인승 어린이 보호차량,13/04,2013.0,디젤,,175.0,,46.0,FR,,국산,,1288.0,120000
6434,현대 쏘나타 G2.0 인스퍼레이션 DN8,19/04(20년형),2020.0,가솔린,,160.0,4.0,20.0,FF,,국산,3289.0,3150.0,4000
6435,현대 아반떼HD 1.6 VVT S16 엘레강스 스페셜,08/04,2008.0,가솔린,,121.0,4.0,15.6,FF,,국산,1615.0,390.0,120000
6436,현대 벨로스터 익스트림 터보,13/01,2013.0,가솔린,,,,,,수동,국산,2195.0,1320.0,40000
6437,현대 쏘나타 더 브릴리언트 2.0 CVVL 모던,12/12(13년형),2013.0,가솔린,,172.0,4.0,20.5,FF,,국산,2650.0,790.0,140000
6438,현대 제네시스 쿠페 200 터보 P,09/06,2009.0,가솔린,4.0,210.0,4.0,30.5,FR,수동,국산,2641.0,890.0,90000
6439,기아 더 뉴 K7 3.0 LPi 럭셔리,14/04,2014.0,LPG,,,,,,,국산,,1198.0,110000
6440,기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,14/01,2014.0,디젤,,184.0,4.0,41.0,FF,,국산,2380.0,1699.0,30000
6441,기아 K3 1.6 GDI 프레스티지,12/12(13년형),2013.0,가솔린,,140.0,4.0,16.9,FF,,국산,1875.0,490.0,110000
6442,기아 봉고3 1톤 더블캡 초장축,11/03,2011.0,디젤,,126.0,,26.5,FR,,국산,,597.0,190000
6443,현대 벨로스터 터보 D 스펙,13/07(14년형),2014.0,가솔린,,204.0,4.0,26.9,FF,,국산,2130.0,1130.0,20000
6444,쉐보레 스파크 밴,12/12(13년형),2013.0,가솔린,,70.0,,9.4,FF,,국산,,358.0,40000
6445,현대 그랜져HG 300 LPG 프라임,12/07,2012.0,LPG,,235.0,,28.6,FF,,국산,,990.0,80000
6446,기아 봉고3 내장 탑차,12/01,2012.0,디젤,,,,,,수동,국산,,770.0,150000
6447,기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,16/04,2016.0,디젤,,186.0,4.0,41.0,FF,,국산,3150.0,2590.0,30000
6448,두성 프리버드 캠핑카,07/07,2007.0,디젤,,,,,FR,,국산,,2450.0,150000
6449,현대 뉴 제네시스 G330 프리미엄,15/01,2015.0,가솔린,,282.0,6.0,35.4,FR,,국산,5255.0,4830.0,3000
6450,현대 아반떼MD M16 GDi 럭셔리,11/06(12년형),2012.0,가솔린,,,4.0,,FF,,국산,1520.0,780.0,60000
6451,현대 더 뉴 i40 2.0 GDi PYL,15/04(16년형),2016.0,가솔린,,166.0,4.0,20.9,FF,,국산,2709.0,1499.0,80000
6452,기아 K7 VG350 노블레스 프리미엄,11/01,2011.0,가솔린,,290.0,6.0,34.5,FF,,국산,4135.0,1050.0,140000
6453,현대 뉴 투싼ix 2.0 디젤 2WD 스마트 스페셜,15/03,2015.0,디젤,,184.0,4.0,40.0,FF,,국산,2425.0,1400.0,70000
6454,쌍용 뉴코란도 290S 밴 디젤 고급형,00/03,2000.0,디젤,,120.0,,25.5,,,국산,,160.0,170000
6455,현대 YF쏘나타 2.0 Y20 LPi 디럭스,12/06,2012.0,LPG,5.0,,,,FF,수동,국산,,590.0,150000
6456,기아 뉴 카렌스 2.0 LPI GLX 고급형,10/11(11년형),2011.0,LPG,,141.0,4.0,19.0,FF,,국산,1840.0,400.0,180000
6457,현대 더 뉴 제네시스 쿠페 200 터보 S,12/12,2012.0,가솔린,,275.0,4.0,38.0,FR,,국산,2965.0,1380.0,80000
6458,제네시스 EQ900 3.3 T-GDi AWD 프레스티지,15/12(16년형),2016.0,가솔린,,370.0,6.0,52.0,AWD,,국산,10900.0,8850.0,5000
6459,현대 그랜져HG 300 프리미엄,15/11(16년형),2016.0,가솔린,,270.0,6.0,31.5,FF,,국산,3320.0,1550.0,100000
6460,현대 싼타페CM 2.0 VGT 스타일 팩 2WD,08/11(09년형),2009.0,디젤,,151.0,4.0,34.0,FF,,국산,2550.0,620.0,120000
6461,현대 NF쏘나타 N20 VGT 디럭스 기본형,07/04,2007.0,디젤,,146.0,4.0,32.0,FF,,국산,2266.0,590.0,250000
6462,현대 YF쏘나타 2.0 Y20 프라임 최고급형,09/12(10년형),2010.0,가솔린,,165.0,4.0,20.2,FF,,국산,2500.0,620.0,70000
6463,기아 올 뉴 모닝 1.0 가솔린 스마트,14/03,2014.0,가솔린,,,3.0,,FF,,국산,911.0,559.0,50000
6464,기아 올 뉴 모닝 1.0 가솔린 디럭스 스페셜,12/12(13년형),2013.0,가솔린,,82.0,3.0,9.6,FF,,국산,1050.0,570.0,60000
6465,밴텍 아톰 7인 오토캠핑카,05/08,2005.0,디젤,,,,,FR,,국산,,2190.0,300000
6466,기아 쏘렌토 2.5 TLX 4WD 최고급형,04/01,2004.0,디젤,,145.0,4.0,33.0,AWD,,국산,2530.0,499.0,120000
6467,현대 포터2 파워게이트,11/09(12년형),2012.0,디젤,3.0,126.0,,25.5,FR,수동,국산,,380.0,250000
6468,기아 모하비 KV460 4WD 최고급형,09/11,2009.0,가솔린,,340.0,8.0,44.4,4WD,,국산,4840.0,2650.0,120000
6469,르노삼성 SM7 노바 2.5 V6,19/06,2019.0,가솔린,,190.0,6.0,24.8,FF,,국산,3302.0,1800.0,10000
6470,현대 싼타페CM 2.0 VGT SLX 2WD 고급형,08/07(09년형),2009.0,디젤,,151.0,,34.0,FF,,국산,2934.0,450.0,140000
6471,기아 뉴 스포티지 TLX 2WD 최고급형,07/09,2007.0,디젤,,146.0,4.0,32.0,FF,,국산,2125.0,430.0,170000
6472,현대 뉴 에쿠스 VS 460 프레스티지,09/06(10년형),2010.0,가솔린,,366.0,8.0,44.8,FR,,국산,10900.0,1490.0,190000
6473,르노삼성 마스터 2.3 디젤 L,19/11,2019.0,디젤,,145.0,,36.7,FF,수동,국산,3100.0,5500.0,650
6474,기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,14/02,2014.0,디젤,,184.0,4.0,41.0,FF,,국산,2380.0,1650.0,60000
6475,기아 K7 VG270 LPI 럭셔리,10/12(11년형),2011.0,LPG,,165.0,,25.0,FF,,국산,,660.0,160000
6476,쉐보레 크루즈 1.8 LTZ 플러스,11/04,2011.0,가솔린,,142.0,4.0,17.9,FF,,국산,1864.0,710.0,90000
6477,쌍용 뉴체어맨 CM500S 마제스티,04/04,2004.0,가솔린,,197.0,6.0,27.6,FR,,국산,4530.0,450.0,140000
6478,현대 NF쏘나타 N20 럭셔리 고급형,06/03,2006.0,가솔린,,144.0,4.0,23.0,FF,,국산,2023.0,490.0,160000
6479,현대 싼타페 2.0 골드 디젤 2WD 기본형,05/07,2005.0,디젤,,126.0,4.0,29.5,FF,,국산,1987.0,349.0,160000
6480,현대 아반떼MD M16 GDi 프리미엄,12/06,2012.0,가솔린,,140.0,4.0,16.9,FF,,국산,1955.0,790.0,80000
6481,기아 뉴모닝 LX 고급형 블랙프리미엄,08/03,2008.0,가솔린,,72.0,4.0,9.2,FF,,국산,833.0,320.0,90000
6482,현대 그랜져HG 300 로얄,12/05,2012.0,가솔린,,270.0,6.0,31.5,FF,,국산,3901.0,1610.0,90000
6483,제네시스 EQ900 3.8 GDi AWD 프리미엄 럭셔리,16/06,2016.0,가솔린,,315.0,6.0,40.5,AWD,,국산,8740.0,6850.0,20000
6484,현대 싼타페 더 프라임 2.0 디젤 2WD 익스클루시브,16/11(17년형),2017.0,디젤,,186.0,4.0,41.0,FF,,국산,3140.0,2480.0,5000
6485,기아 더 프레스티지 K7 2.4 GDI 럭셔리,11/04(12년형),2012.0,가솔린,,201.0,4.0,25.5,FF,,국산,2999.0,930.0,240000
6486,기아 스포티지R 2.0 디젤 4WD 리미티드,13/07,2013.0,디젤,,184.0,4.0,40.0,4WD,,국산,3000.0,1199.0,120000
6487,현대 뉴스타렉스 점보 밴 CRDI 3인승 GRX 판넬밴 고급형,04/11,2004.0,디젤,,145.0,,33.0,FR,,국산,1675.0,350.0,250000
6488,현대 뉴그랜져XG R20 고급형,03/11(04년형),2004.0,가솔린,,137.0,6.0,18.1,FF,,국산,2237.0,180.0,160000
6489,쉐보레 스파크 밴,11/11(12년형),2012.0,가솔린,,70.0,,9.4,FF,,국산,,299.0,30000
6490,현대 제네시스 쿠페 200 터보 P,09/07(10년형),2010.0,가솔린,4.0,210.0,4.0,30.5,FR,수동,국산,2641.0,1299.0,80000
6491,쉐보레 크루즈 2.0 LT,11/04,2011.0,디젤,5.0,,4.0,,FF,수동,국산,1899.0,1070.0,120000
6492,르노삼성 뉴 QM5 가솔린 2WD LE20,14/01,2014.0,가솔린,,143.0,,20.1,FF,,국산,2485.0,980.0,90000
6493,현대 제네시스 쿠페 200 터보 P,10/04,2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,890.0,110000
6494,쉐보레 올 뉴 말리부 2.0 터보 LT 프리미엄,16/10(17년형),2017.0,가솔린,,253.0,4.0,36.0,FF,,국산,3057.0,1790.0,60000
6495,기아 올 뉴 모닝 밴 고급형,14/07(15년형),2015.0,가솔린,,82.0,,9.6,FF,,국산,,388.0,70000
6496,현대 올 뉴 투싼 2.0 E-VGT 2WD 모던,15/07(16년형),2016.0,디젤,,186.0,4.0,41.0,FF,,국산,2655.0,1850.0,90000
6497,현대 아반떼MD M16 GDi 에비뉴,13/05(14년형),2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,1785.0,1200.0,30000
6498,쉐보레 크루즈 2.0 LTZ,13/02,2013.0,디젤,,,,,,수동,국산,2035.0,730.0,120000
6499,기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지 하이루프,17/02,2017.0,디젤,,202.0,4.0,45.0,FF,,국산,3980.0,3380.0,40000
6500,현대 YF쏘나타 2.0 Y20 LPi 프리미어 장애인용,09/10(10년형),2010.0,LPG,,157.0,,20.0,FF,,국산,,1290.0,100000
6501,현대 그랜져HG 220 디젤 프리미엄,16/01,2016.0,디젤,,202.0,4.0,45.0,FF,,국산,3452.0,3200.0,10000
6502,쌍용 렉스턴 스포츠 2.2 디젤 4WD 노블레스,18/08(19년형),2019.0,디젤,,181.0,,40.8,4WD,,국산,3238.0,3350.0,20000
6503,기아 그랜드카니발 R GX 그랜드팩,10/02,2010.0,디젤,,197.0,,44.5,FF,,국산,2336.0,1399.0,70000
6504,현대 그랜드스타렉스 캠핑카,15/06(16년형),2016.0,디젤,,174.0,,41.0,FR,,국산,2099.0,3390.0,80000
6505,기아 올 뉴 카니발 3.3 GDi 7인승 리무진 프레지던트,16/06,2016.0,가솔린,,280.0,6.0,34.7,FF,,국산,,1.0,20000
6506,기아 K5 2.0 LPi 프레스티지,12/01,2012.0,LPG,,144.0,,19.3,FF,,국산,,1350.0,90000
6507,현대 아반떼MD M16 GDi 럭셔리,11/07(12년형),2012.0,가솔린,,,4.0,,FF,,국산,1520.0,590.0,150000
6508,기아 스포티지 4세대 2.0 디젤 2WD 노블레스,16/10(17년형),2017.0,디젤,,186.0,4.0,41.0,FF,,국산,2685.0,2490.0,30000
6509,현대 에어로타운 숏바디,96/01,1996.0,디젤,,,,,,수동,국산,,450.0,140000
6510,현대 제네시스 쿠페 200 터보 P,09/04,2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,860.0,120000
6511,현대 그랜져HG 300 LPG 모던,14/11(15년형),2015.0,LPG,,235.0,,28.6,FF,,국산,,1079.0,140000
6512,기아 K3 쿱 1.6 T-GDi 노블레스,13/11(14년형),2014.0,가솔린,5.0,204.0,4.0,27.0,FF,수동,국산,2295.0,1299.0,40000
6513,르노삼성 SM520 LE,02/07,2002.0,가솔린,,143.0,4.0,18.5,FF,,국산,1942.0,239.0,180000
6514,현대 올 뉴 투싼 1.6 E-VGT 2WD 모던,18/10(19년형),2019.0,디젤,,136.0,4.0,32.6,FF,,국산,2508.0,2330.0,10000
6515,현대 싼타페CM 2.2 VGT 스타일 팩 2WD,06/09(07년형),2007.0,디젤,,153.0,4.0,35.0,FF,,국산,2535.0,899.0,130000
6516,기아 K5 2.0 프레스티지,10/07(11년형),2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2595.0,899.0,140000
6517,현대 뉴 제네시스 G330 프리미엄,14/06(15년형),2015.0,가솔린,,282.0,6.0,35.4,FR,,국산,5255.0,3900.0,30000
6518,현대 엑센트 1.6 VGT 모던,13/11(14년형),2014.0,디젤,,128.0,4.0,26.5,FF,,국산,1544.0,638.0,100000
6519,GM대우 All New 마티즈 조이 고급형,07/06(08년형),2008.0,가솔린,,52.0,3.0,7.2,FF,,국산,891.0,250.0,50000
6520,르노삼성 SM7 VQ23 LE,05/02,2005.0,가솔린,,170.0,6.0,23.0,FF,,국산,2730.0,630.0,120000
6521,제네시스 EQ900 5.0 GDi AWD 프레스티지,16/01,2016.0,가솔린,,425.0,8.0,53.0,AWD,,국산,11490.0,5900.0,40000
6522,현대 더 뉴 벨로스터 터보 디 스펙 DCT,16/01,2016.0,가솔린,,,,,,수동,국산,2370.0,1750.0,20000
6523,두성 이동업무차,10/07,2010.0,디젤,,174.0,,41.0,,,국산,,2850.0,50000
6524,현대 싼타페 더 프라임 2.0 디젤 2WD 모던,16/09,2016.0,디젤,,186.0,4.0,41.0,FF,,국산,2890.0,1900.0,40000
6525,현대 그랜져HG 300 LPG 이그제큐티브,11/06,2011.0,LPG,,235.0,,28.6,FF,,국산,,800.0,170000
6526,기아 스포티지 1.7 디젤 2WD 노블레스,16/11(17년형),2017.0,디젤,,141.0,4.0,34.7,FF,,국산,2530.0,1560.0,50000
6527,현대 제네시스 쿠페 200 터보 P,09/01,2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,1170.0,100000
6528,기아 봉고3 윙바디 탑차,16/07,2016.0,디젤,2.0,126.0,,25.5,FR,수동,국산,,995.0,200000
6529,기아 옵티마 2.0 LS 고급형,04/02,2004.0,가솔린,,149.0,4.0,19.7,FF,,국산,1703.0,150.0,90000
6530,현대 그랜져HG 300 프리미엄,16/01,2016.0,가솔린,,270.0,6.0,31.5,FF,,국산,3320.0,2990.0,5000
6531,현대 그랜드스타렉스 캠핑카,10/03,2010.0,디젤,,174.0,,41.0,,,국산,,2300.0,40000
6532,제네시스 EQ900 3.8 GDi AWD 프레스티지,16/01,2016.0,가솔린,,315.0,6.0,40.5,AWD,,국산,10500.0,9300.0,10000
6533,GM대우 윈스톰 LTX 5인승 4WD 최고급형,07/05,2007.0,디젤,,150.0,4.0,32.6,AWD,,국산,3083.0,170.0,210000
6534,쉐보레 크루즈 1.6 LT 플러스,11/09(12년형),2012.0,가솔린,,124.0,4.0,15.7,FF,,국산,1753.0,390.0,100000
6535,현대 제네시스 쿠페 380 GT P,08/11(09년형),2009.0,가솔린,,303.0,6.0,36.8,FR,,국산,3042.0,1390.0,110000
6536,현대 제네시스 쿠페 200 터보 RW,10/05,2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,3136.0,880.0,80000
6537,기아 그랜드카니발 R 프레지던트,11/05,2011.0,디젤,,197.0,,44.5,FF,,국산,3524.0,1090.0,140000
6538,쉐보레 스파크 LT,13/10(14년형),2014.0,가솔린,,70.0,4.0,9.4,FF,,국산,1168.0,250.0,30000
6539,현대 제네시스 BH330 모던,12/06(13년형),2013.0,가솔린,,300.0,6.0,35.5,FR,,국산,4338.0,1699.0,150000
6540,현대 e-카운티 표준형 슈퍼 25인승,07/04,2007.0,디젤,,170.0,,62.0,,수동,국산,,1495.0,110000
6541,기아 오피러스 GH300 고급형 하이오너,04/01(03년형),2003.0,가솔린,,187.0,6.0,25.9,FF,,국산,3736.0,350.0,170000
6542,현대 뉴 에쿠스 VL380 프레스티지,13/06,2013.0,가솔린,,334.0,6.0,40.3,FR,,국산,13579.0,4990.0,80000
6543,현대 i40 2.0 GDi 왜건 PYL,14/11(15년형),2015.0,가솔린,,166.0,4.0,20.9,FF,,국산,2760.0,1090.0,100000
6544,현대 아반떼MD M16 GDi 에비뉴,13/04(14년형),2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,1785.0,1090.0,70000
6545,현대 LF쏘나타 2.0 LPi 스마트,15/01,2015.0,LPG,,151.0,,19.8,FF,,국산,,1300.0,40000
6546,현대 더 뉴 아반떼AD G1.6 스마트,19/09(20년형),2020.0,가솔린,,123.0,4.0,15.7,FF,,국산,1796.0,1350.0,3000
